created,text,retwc,hashtag,followers,friends
2017-10-23 10:28:59,b'RT @guardian: Gunpowder review \xe2\x80\x93 it\xe2\x80\x99s Game of Thrones minus dragons plus history  https://t.co/FIXmzmurWs',9,None,57767,109
2017-10-23 10:28:49,b'RT @wintertospring6: SENSE8 COULD BE TO GAME OF THRONES LEVEL IF YOU ONLY CARED @netflix',5,None,203,287
2017-10-23 10:28:47,b'RT @guardian: Gunpowder review \xe2\x80\x93 it\xe2\x80\x99s Game of Thrones minus dragons plus history  https://t.co/FIXmzmurWs',9,None,427,4799
2017-10-23 10:28:29,"b'Some hilarious Game of thrones Memes\n10 #hilarious_reactions to the ""#Game_of_Thrones"" memes list. #funny_memes\xe2\x80\xa6 https://t.co/dZ7aGmYTwB'",0,hilarious_reactions,67,314
2017-10-23 10:28:29,b'Fans of #GameOfThrones can stop hoping for a Daenerys-Daario reunion: https://t.co/xe9P2KzCVX https://t.co/RI7Lf4swWM',1,GameOfThrones,22053,5424
2017-10-23 10:28:29,b'RT @guardian: Gunpowder review \xe2\x80\x93 it\xe2\x80\x99s Game of Thrones minus dragons plus history  https://t.co/FIXmzmurWs',9,None,86,212
2017-10-23 10:28:25,b'Game of Thrones actor Indira Varma stars in child abuse drama - The Guardian https://t.co/L7ZMdblv6G #GameofThrones https://t.co/iGUUeJ3Xdg',0,GameofThrones,17188,4
2017-10-23 10:28:20,b'- Game of Thrones. https://t.co/Ml6b4QOwCP',0,None,0,71
2017-10-23 10:28:14,b'Perfect #music for #serenity at work while focusing &amp; trying to be #productive. #Business #Productivity https://t.co/knmbr5K9sP',0,music,691,458
2017-10-23 10:28:06,b'RT @NicholasRyanH: Game of Thrones tonight!!!!! (Sorry. Just practicing for two years from now.)',349,None,731,356
2017-10-23 10:27:09,"b'RT guardian ""Gunpowder review \xe2\x80\x93 it\xe2\x80\x99s Game of Thrones minus dragons plus history  https://t.co/inyjBEoROh""'",0,None,506,1815
